Time,T1,T2,Q1,Q2
647.0,48.001,34.337,60.0,60.0
648.01,48.065,34.305,60.0,60.0
649.01,48.13,34.401,60.0,60.0
650.01,48.194,34.401,60.0,60.0
651.01,48.291,34.434,60.0,60.0
652.01,48.291,34.498,60.0,60.0
653.01,48.291,34.691,60.0,60.0
654.01,48.291,34.853,60.0,60.0
655.0,48.291,35.014,60.0,60.0
656.01,48.291,35.014,60.0,60.0
657.0,48.355,35.046,60.0,60.0
658.01,48.388,35.271,60.0,60.0
659.01,48.452,35.078,60.0,60.0
660.01,48.613,35.143,60.0,60.0
661.0,48.613,35.11,60.0,60.0
662.01,48.613,35.562,60.0,60.0
663.0,48.646,35.626,60.0,60.0
664.01,48.613,35.69,60.0,60.0
665.01,48.71,35.69,60.0,60.0
666.0,48.678,35.948,60.0,60.0
667.01,48.742,35.787,60.0,60.0
668.0,48.807,35.723,60.0,60.0
669.01,48.871,35.884,60.0,60.0
670.0,48.871,36.303,60.0,60.0
671.01,48.936,36.238,60.0,60.0
672.0,48.936,36.303,60.0,60.0
673.01,48.936,36.109,60.0,60.0
674.01,48.936,36.399,60.0,60.0
675.01,48.936,36.367,60.0,60.0
676.0,48.936,36.496,60.0,60.0
677.0,49.064,36.625,60.0,60.0
678.01,49.097,36.883,60.0,60.0
679.0,49.097,36.947,60.0,60.0
680.01,49.129,36.883,60.0,60.0
681.01,49.161,36.915,60.0,60.0
682.0,49.258,36.979,60.0,60.0
683.01,49.226,37.012,60.0,60.0
684.01,49.258,37.141,60.0,60.0
685.0,49.258,37.205,60.0,60.0
686.01,49.258,37.463,60.0,60.0
687.0,49.258,37.592,60.0,60.0
688.0,49.258,37.592,60.0,60.0
689.0,49.258,37.527,60.0,60.0
690.0,49.29,37.527,60.0,60.0
691.0,49.258,37.721,60.0,60.0
692.0,49.29,37.914,60.0,60.0
693.01,49.258,37.721,60.0,60.0
